type,material,length,width,height,volume,mass_kg,approved
Beam,steel,1.26,0.52,0.31,0.203,1593.6,1
Slab,steel,7.8,0.58,0.52,2.352,18463.2,0
Beam,steel,6.58,0.7,0.55,2.533,19884.0,0
Slab,steel,7.34,0.9,0.28,1.85,14522.5,0
Slab,concrete,2.92,0.99,0.22,0.636,1590.0,1
Beam,concrete,2.23,0.81,0.49,0.885,2212.5,1
Beam,concrete,1.13,0.53,0.24,0.144,360.0,1
Slab,steel,4.16,0.54,0.51,1.146,8996.1,0
Column,steel,6.31,0.79,0.31,1.545,12128.2,0
Footing,steel,4.53,0.39,0.43,0.76,5966.0,0
Beam,steel,4.94,0.29,0.15,0.215,1687.8,1
Footing,concrete,9.14,0.48,0.41,1.799,4497.5,1
Column,concrete,4.13,0.43,0.33,0.586,1465.0,1
Column,steel,5.63,0.44,0.39,0.966,7583.1,0
Column,concrete,8.05,0.39,0.18,0.565,1412.5,1
Beam,concrete,4.57,0.23,0.47,0.494,1235.0,1
Column,steel,6.6,0.21,0.53,0.735,5769.8,0
Beam,concrete,8.76,0.99,0.21,1.821,4552.5,1
Column,steel,9.55,0.54,0.15,0.774,6075.9,0
Footing,concrete,2.32,0.51,0.11,0.13,325.0,1
Footing,steel,9.34,0.74,0.42,2.903,22788.6,0
Slab,steel,5.43,0.37,0.4,0.804,6311.4,0
Footing,steel,3.32,0.96,0.37,1.179,9255.2,0
Slab,steel,5.13,0.83,0.22,0.937,7355.4,0
Footing,concrete,9.82,0.27,0.3,0.795,1987.5,1
Beam,steel,5.43,0.53,0.4,1.151,9035.4,0
Footing,steel,3.96,0.9,0.35,1.247,9789.0,0
Slab,steel,6.7,0.96,0.59,3.795,29790.8,0
Slab,concrete,3.16,0.57,0.17,0.306,765.0,1
Column,steel,1.68,0.69,0.45,0.522,4097.7,1
Beam,concrete,2.16,0.33,0.3,0.214,535.0,1
Footing,steel,2.15,0.99,0.31,0.66,5181.0,0
Column,concrete,2.37,0.39,0.46,0.425,1062.5,1
Footing,concrete,2.25,0.95,0.45,0.962,2405.0,1
Footing,steel,6.77,0.72,0.6,2.925,22961.2,0
Column,concrete,2.64,0.69,0.16,0.291,727.5,1
Column,steel,4.11,0.61,0.15,0.376,2951.6,1
Column,steel,9.07,0.38,0.46,1.585,12442.2,0
Column,steel,5.27,0.34,0.39,0.699,5487.2,0
Column,concrete,7.01,0.38,0.24,0.639,1597.5,1
Footing,concrete,2.55,0.35,0.14,0.125,312.5,1
Column,steel,2.73,0.82,0.14,0.313,2457.0,1
Beam,steel,1.37,0.48,0.55,0.362,2841.7,1
Slab,concrete,2.52,0.25,0.2,0.126,315.0,1
Column,steel,3.51,0.98,0.26,0.894,7017.9,0
Column,steel,2.59,0.91,0.21,0.495,3885.8,1
Footing,steel,1.8,0.94,0.28,0.474,3720.9,1
Column,concrete,2.09,1.0,0.13,0.272,680.0,1
Column,concrete,5.15,0.34,0.36,0.63,1575.0,1
Column,concrete,2.86,0.52,0.13,0.193,482.5,1
Footing,steel,4.28,0.81,0.5,1.733,13604.0,0
Column,steel,5.53,0.76,0.22,0.925,7261.2,0
Slab,steel,7.21,0.32,0.37,0.854,6703.9,0
Footing,concrete,1.35,0.85,0.54,0.62,1550.0,1
Slab,steel,8.19,0.38,0.43,1.338,10503.3,0
Footing,steel,6.65,0.38,0.37,0.935,7339.8,0
Column,steel,1.74,0.63,0.26,0.285,2237.2,1
Slab,steel,8.86,0.67,0.27,1.603,12583.6,0
Footing,concrete,9.29,0.66,0.43,2.637,6592.5,0
Beam,concrete,1.55,0.27,0.6,0.251,627.5,1
Column,steel,3.49,0.9,0.43,1.351,10605.4,0
Footing,concrete,8.26,0.41,0.38,1.287,3217.5,1
Beam,concrete,7.73,0.3,0.47,1.09,2725.0,1
Footing,steel,2.66,0.91,0.33,0.799,6272.2,0
Beam,steel,2.88,0.96,0.13,0.359,2818.2,1
Column,concrete,4.33,0.89,0.38,1.464,3660.0,1
Slab,steel,5.36,0.85,0.58,2.642,20739.7,0
Beam,concrete,6.56,0.72,0.19,0.897,2242.5,1
Footing,steel,4.32,0.64,0.45,1.244,9765.4,0
Column,concrete,5.16,0.27,0.2,0.279,697.5,1
Beam,steel,7.73,0.53,0.37,1.516,11900.6,0
Footing,concrete,1.33,0.5,0.15,0.1,250.0,1
Footing,concrete,3.27,0.41,0.33,0.442,1105.0,1
Footing,concrete,7.42,0.78,0.48,2.778,6945.0,0
Beam,steel,9.06,0.6,0.27,1.468,11523.8,0
Beam,concrete,5.61,0.26,0.43,0.627,1567.5,1
Beam,concrete,5.79,0.38,0.5,1.1,2750.0,1
Slab,steel,1.96,0.75,0.56,0.823,6460.5,0
Beam,steel,5.03,0.26,0.22,0.288,2260.8,1
Beam,concrete,5.79,0.88,0.3,1.529,3822.5,1
Beam,concrete,3.18,0.6,0.18,0.343,857.5,1
Slab,steel,3.42,0.58,0.6,1.19,9341.5,0
Beam,steel,4.4,0.67,0.56,1.651,12960.4,0
Footing,steel,1.18,0.86,0.37,0.375,2943.8,1
Beam,steel,3.9,0.48,0.52,0.973,7638.0,0
Footing,steel,2.9,0.74,0.36,0.773,6068.0,0
Footing,concrete,3.95,0.65,0.41,1.053,2632.5,1
Footing,steel,2.08,0.41,0.14,0.119,934.2,1
Slab,concrete,9.01,0.9,0.48,3.892,9730.0,0
Slab,concrete,6.34,0.84,0.16,0.852,2130.0,1
Slab,concrete,7.11,0.73,0.51,2.647,6617.5,0
Beam,steel,8.1,0.88,0.49,3.493,27420.0,0
Footing,concrete,5.49,0.89,0.45,2.199,5497.5,0
Slab,concrete,1.78,0.77,0.12,0.164,410.0,1
Slab,steel,5.83,0.87,0.25,1.268,9953.8,0
Beam,concrete,6.28,0.76,0.23,1.098,2745.0,1
Slab,concrete,7.71,0.74,0.28,1.598,3995.0,1
Beam,steel,4.88,0.69,0.14,0.471,3697.4,1
Column,concrete,2.15,0.8,0.57,0.98,2450.0,1
Slab,concrete,3.55,0.33,0.38,0.445,1112.5,1
Column,concrete,4.27,0.9,0.25,0.961,2402.5,1
Beam,steel,6.81,0.9,0.3,1.839,14436.2,0
Footing,steel,6.14,0.22,0.32,0.432,3391.2,1
Slab,steel,4.2,0.86,0.4,1.445,11343.2,0
Beam,concrete,9.88,0.3,0.36,1.067,2667.5,1
Footing,concrete,6.45,0.47,0.56,1.698,4245.0,1
Footing,steel,3.14,0.79,0.35,0.868,6813.8,0
Column,concrete,1.92,0.33,0.6,0.38,950.0,1
Beam,concrete,2.38,0.85,0.53,1.072,2680.0,1
Footing,steel,3.21,0.87,0.2,0.559,4388.2,1
Slab,steel,2.45,0.61,0.57,0.852,6688.2,0
Slab,concrete,2.68,0.21,0.16,0.09,225.0,1
Column,concrete,3.57,0.43,0.51,0.783,1957.5,1
Footing,concrete,2.56,0.69,0.29,0.512,1280.0,1
Beam,steel,9.07,0.98,0.54,4.8,37680.0,0
Slab,steel,1.72,0.71,0.53,0.647,5079.0,0
Footing,steel,5.72,0.41,0.5,1.173,9208.1,0
Footing,steel,4.69,0.71,0.5,1.665,13070.2,0
Column,concrete,9.84,0.63,0.25,1.55,3875.0,1
Slab,steel,2.01,0.82,0.14,0.231,1813.4,1
Slab,steel,4.58,0.29,0.3,0.398,3124.3,1
Beam,steel,9.73,0.81,0.19,1.497,11751.4,0
Slab,steel,8.79,0.63,0.45,2.492,19562.2,0
Beam,steel,8.35,0.97,0.27,2.187,17167.9,0
Slab,concrete,3.32,0.47,0.59,0.921,2302.5,1
Column,concrete,2.54,0.71,0.42,0.757,1892.5,1
Slab,steel,7.02,0.95,0.51,3.401,26697.8,0
Beam,concrete,9.36,0.28,0.17,0.446,1115.0,1
Beam,steel,6.01,0.95,0.53,3.026,23754.1,0
Column,steel,6.14,0.75,0.56,2.579,20245.2,0
Slab,concrete,3.52,0.25,0.34,0.299,747.5,1
Slab,concrete,7.93,0.44,0.4,1.396,3490.0,1
Column,steel,2.68,0.77,0.48,0.991,7779.4,0
Slab,steel,3.91,0.25,0.19,0.186,1460.1,1
Slab,steel,4.83,0.67,0.35,1.133,8894.0,0
Beam,concrete,5.57,0.48,0.3,0.802,2005.0,1
Slab,steel,3.18,0.7,0.17,0.378,2967.3,1
Slab,steel,2.03,0.24,0.28,0.136,1067.6,1
Column,steel,6.5,0.9,0.13,0.761,5973.8,0
Column,concrete,3.6,0.98,0.11,0.388,970.0,1
Footing,steel,6.23,0.98,0.17,1.038,8148.3,0
Beam,steel,2.39,0.8,0.58,1.109,8705.6,0
Slab,concrete,5.33,0.3,0.37,0.592,1480.0,1
Slab,steel,5.79,0.81,0.58,2.72,21352.0,0
Footing,steel,1.47,0.22,0.32,0.103,808.6,1
Slab,concrete,4.03,0.22,0.26,0.231,577.5,1
Beam,steel,2.21,0.46,0.35,0.356,2794.6,1
Footing,concrete,1.57,0.59,0.32,0.296,740.0,1
Beam,concrete,9.91,0.82,0.15,1.219,3047.5,1
Footing,steel,3.9,0.75,0.42,1.228,9639.8,0
Footing,steel,8.29,0.56,0.21,0.975,7653.8,0
Column,steel,3.29,0.42,0.41,0.567,4451.0,1
Beam,steel,7.13,1.0,0.43,3.066,24068.1,0
Slab,concrete,7.84,0.54,0.18,0.762,1905.0,1
Slab,steel,6.36,0.56,0.13,0.463,3634.6,1
Beam,concrete,5.24,0.33,0.49,0.847,2117.5,1
Slab,steel,4.71,0.84,0.33,1.306,10252.1,0
Slab,steel,4.14,0.75,0.13,0.404,3171.4,1
Beam,steel,9.37,0.38,0.6,2.136,16767.6,0
Footing,concrete,8.48,0.27,0.13,0.298,745.0,1
Beam,steel,9.69,0.74,0.45,3.227,25332.0,0
Footing,steel,2.12,0.72,0.59,0.901,7072.8,0
Slab,steel,7.58,0.42,0.22,0.7,5495.0,0
Slab,steel,9.45,0.96,0.17,1.542,12104.7,0
Slab,concrete,2.63,0.32,0.16,0.135,337.5,1
Column,steel,1.6,0.55,0.25,0.22,1727.0,1
Footing,concrete,7.67,0.95,0.15,1.093,2732.5,1
Column,concrete,6.17,0.54,0.45,1.499,3747.5,1
Column,concrete,8.58,0.71,0.13,0.792,1980.0,1
Beam,concrete,2.26,0.52,0.35,0.411,1027.5,1
Column,concrete,8.16,0.42,0.6,2.056,5140.0,0
Beam,concrete,2.81,0.99,0.51,1.419,3547.5,1
Beam,steel,2.47,0.53,0.41,0.537,4215.4,1
Column,concrete,2.48,0.92,0.25,0.57,1425.0,1
Footing,concrete,8.33,0.38,0.41,1.298,3245.0,1
Footing,concrete,6.99,0.37,0.36,0.931,2327.5,1
Footing,steel,5.71,0.22,0.31,0.389,3053.6,1
Footing,steel,4.23,0.72,0.17,0.518,4066.3,1
Footing,concrete,8.89,0.49,0.54,2.352,5880.0,0
Column,steel,4.53,0.89,0.32,1.29,10126.5,0
Column,concrete,8.35,0.58,0.2,0.969,2422.5,1
Slab,concrete,4.95,0.97,0.28,1.344,3360.0,1
Footing,steel,4.39,0.35,0.31,0.476,3736.6,1
Column,concrete,5.16,0.89,0.51,2.342,5855.0,0
Slab,steel,3.71,0.82,0.47,1.43,11225.5,0
Footing,steel,7.73,0.82,0.48,3.043,23887.6,0
Beam,concrete,5.52,0.88,0.11,0.534,1335.0,1
Slab,concrete,3.09,0.81,0.31,0.776,1940.0,1
Column,steel,9.1,0.7,0.34,2.166,17003.1,0
Beam,concrete,4.46,0.3,0.11,0.147,367.5,1
Beam,concrete,5.89,0.23,0.23,0.312,780.0,1
Beam,concrete,9.16,0.94,0.48,4.133,10332.5,0
Slab,steel,6.62,0.69,0.17,0.777,6099.4,0
Column,steel,2.05,0.84,0.37,0.637,5000.4,0
Beam,concrete,9.46,0.59,0.21,1.172,2930.0,1
Footing,steel,6.65,0.29,0.11,0.212,1664.2,1
Beam,steel,4.01,0.3,0.22,0.265,2080.2,1
Beam,steel,2.25,0.75,0.59,0.996,7818.6,0
Slab,steel,8.15,0.54,0.5,2.201,17277.9,0
Slab,steel,6.58,0.36,0.58,1.374,10785.9,0
Column,concrete,5.8,0.59,0.34,1.163,2907.5,1
Footing,concrete,9.05,0.25,0.15,0.339,847.5,1
Slab,concrete,8.1,0.67,0.37,2.008,5020.0,0
Beam,steel,2.37,0.42,0.33,0.328,2574.8,1
Column,steel,3.81,0.84,0.52,1.664,13062.4,0
Beam,concrete,3.24,0.45,0.15,0.219,547.5,1
Beam,steel,7.7,0.56,0.34,1.466,11508.1,0
Slab,concrete,1.3,0.21,0.18,0.049,122.5,1
Column,concrete,6.13,0.26,0.26,0.414,1035.0,1
Footing,concrete,7.86,0.51,0.47,1.884,4710.0,1
Footing,steel,8.89,0.58,0.34,1.753,13761.0,0
Slab,steel,4.08,0.68,0.29,0.805,6319.2,0
Slab,concrete,8.39,0.43,0.3,1.082,2705.0,1
Column,concrete,2.0,0.76,0.33,0.502,1255.0,1
Footing,concrete,8.62,0.89,0.49,3.759,9397.5,0
Footing,concrete,2.15,0.82,0.55,0.97,2425.0,1
Footing,steel,4.58,0.23,0.58,0.611,4796.3,1
Beam,steel,8.18,0.58,0.49,2.325,18251.2,0
Footing,concrete,2.35,0.28,0.26,0.171,427.5,1
Beam,concrete,3.06,0.39,0.44,0.525,1312.5,1
Column,steel,7.5,0.99,0.32,2.376,18651.6,0
Beam,steel,7.48,0.31,0.23,0.533,4184.0,1
Column,concrete,6.77,0.6,0.52,2.112,5280.0,0
Footing,concrete,7.25,0.69,0.12,0.6,1500.0,1
Footing,concrete,5.88,0.76,0.55,2.458,6145.0,0
Column,steel,3.27,0.65,0.33,0.701,5502.8,0
Slab,steel,4.11,0.21,0.42,0.363,2849.5,1
Column,steel,2.63,0.46,0.43,0.52,4082.0,1
Slab,concrete,9.18,0.61,0.55,3.08,7700.0,0
Beam,concrete,6.25,0.27,0.42,0.709,1772.5,1
Beam,steel,4.61,0.48,0.41,0.907,7120.0,0
Beam,steel,5.16,0.23,0.13,0.154,1208.9,1
Footing,concrete,9.53,0.26,0.36,0.892,2230.0,1
Beam,steel,2.38,0.52,0.18,0.223,1750.6,1
Slab,steel,6.28,0.31,0.47,0.915,7182.8,0
Beam,concrete,5.55,0.65,0.36,1.299,3247.5,1
Column,steel,6.5,0.75,0.44,2.145,16838.2,0
Column,concrete,1.16,0.84,0.12,0.117,292.5,1
Footing,concrete,8.85,0.36,0.14,0.446,1115.0,1
Column,concrete,9.39,0.33,0.46,1.425,3562.5,1
Slab,concrete,6.09,0.28,0.14,0.239,597.5,1
Beam,concrete,7.27,0.71,0.14,0.723,1807.5,1
Footing,concrete,9.3,0.77,0.11,0.788,1970.0,1
Beam,concrete,7.37,0.23,0.58,0.983,2457.5,1
Beam,steel,2.37,0.95,0.47,1.058,8305.3,0
Slab,concrete,6.19,0.24,0.28,0.416,1040.0,1
Column,concrete,6.46,0.63,0.25,1.017,2542.5,1
Column,steel,4.82,0.77,0.27,1.002,7865.7,0
Beam,steel,7.63,0.9,0.49,3.365,26415.2,0
Footing,steel,9.41,0.77,0.43,3.116,24460.6,0
Column,concrete,9.33,0.84,0.19,1.489,3722.5,1
Footing,steel,5.06,0.47,0.19,0.452,3548.2,1
Column,concrete,2.02,0.85,0.15,0.258,645.0,1
Footing,concrete,9.86,0.26,0.43,1.102,2755.0,1
Slab,concrete,8.55,0.92,0.48,3.776,9440.0,0
Footing,concrete,2.12,0.64,0.23,0.312,780.0,1
Slab,steel,9.29,0.85,0.11,0.869,6821.6,0
Slab,steel,8.83,0.56,0.14,0.692,5432.2,0
Footing,concrete,5.67,0.71,0.58,2.335,5837.5,0
Slab,concrete,6.32,0.62,0.25,0.98,2450.0,1
Beam,concrete,4.59,0.79,0.48,1.741,4352.5,1
Slab,steel,1.49,0.27,0.41,0.165,1295.2,1
Column,concrete,4.02,0.25,0.29,0.291,727.5,1
Footing,concrete,8.23,0.4,0.2,0.658,1645.0,1
Beam,steel,1.04,0.33,0.16,0.055,431.8,1
Footing,steel,4.0,0.9,0.41,1.476,11586.6,0
Column,concrete,4.58,0.38,0.49,0.853,2132.5,1
Column,steel,5.84,0.98,0.42,2.404,18871.4,0
Column,steel,9.28,0.47,0.37,1.614,12669.9,0
Slab,concrete,4.12,0.35,0.12,0.173,432.5,1
Slab,steel,4.12,0.83,0.58,1.983,15566.6,0
Footing,concrete,7.64,0.73,0.5,2.789,6972.5,0
Footing,steel,5.07,0.6,0.25,0.761,5973.8,0
Beam,concrete,3.02,0.64,0.59,1.14,2850.0,1
Beam,concrete,5.07,0.78,0.4,1.582,3955.0,1
Footing,concrete,2.27,0.38,0.39,0.336,840.0,1
Slab,steel,2.59,1.0,0.47,1.217,9553.4,0
Column,concrete,5.49,0.98,0.51,2.744,6860.0,0
Footing,steel,4.77,0.72,0.43,1.477,11594.4,0
Beam,concrete,9.23,0.36,0.16,0.532,1330.0,1
Slab,concrete,4.26,0.74,0.27,0.851,2127.5,1
Footing,steel,6.23,0.26,0.56,0.907,7120.0,0
Footing,concrete,6.69,0.22,0.21,0.309,772.5,1
Slab,concrete,1.12,0.41,0.29,0.133,332.5,1
Footing,steel,6.97,0.57,0.32,1.271,9977.3,0
Slab,concrete,2.6,0.89,0.32,0.74,1850.0,1
Column,concrete,9.65,0.78,0.41,3.086,7715.0,0
Slab,concrete,2.34,0.79,0.57,1.054,2635.0,1
Slab,concrete,4.73,0.54,0.22,0.562,1405.0,1
Slab,steel,1.77,0.48,0.16,0.136,1067.6,1
Footing,steel,9.97,0.5,0.2,0.997,7826.4,0
Footing,concrete,5.52,0.99,0.54,2.951,7377.5,0
Slab,steel,6.36,0.23,0.42,0.614,4819.9,1
Footing,concrete,1.6,0.89,0.24,0.342,855.0,1
Beam,steel,7.75,0.66,0.51,2.609,20480.6,0
Beam,concrete,2.89,0.55,0.53,0.842,2105.0,1
Footing,concrete,9.08,0.78,0.52,3.683,9207.5,0
Footing,concrete,2.85,0.59,0.56,0.942,2355.0,1
Slab,concrete,2.72,0.9,0.23,0.563,1407.5,1
Column,concrete,1.33,0.92,0.48,0.587,1467.5,1
Footing,concrete,5.25,0.54,0.33,0.936,2340.0,1
Beam,steel,6.08,0.42,0.52,1.328,10424.8,0
Slab,concrete,1.59,0.67,0.46,0.49,1225.0,1
Footing,steel,7.98,0.93,0.49,3.636,28542.6,0
Beam,concrete,5.08,0.37,0.43,0.808,2020.0,1
Beam,steel,5.72,0.7,0.19,0.761,5973.8,0
Column,steel,4.97,0.71,0.37,1.306,10252.1,0
Slab,steel,4.61,0.79,0.59,2.149,16869.6,0
Slab,concrete,6.04,0.31,0.57,1.067,2667.5,1
Column,concrete,2.4,0.77,0.12,0.222,555.0,1
Column,steel,2.64,0.93,0.18,0.442,3469.7,1
Slab,concrete,8.76,0.34,0.17,0.506,1265.0,1
Slab,steel,9.52,0.39,0.46,1.708,13407.8,0
Footing,concrete,4.36,0.98,0.51,2.179,5447.5,0
Footing,steel,3.44,0.34,0.21,0.246,1931.1,1
Column,steel,6.8,0.88,0.35,2.094,16437.9,0
Footing,concrete,4.68,0.59,0.52,1.436,3590.0,1
Beam,steel,1.23,0.4,0.47,0.231,1813.4,1
Footing,concrete,2.41,0.9,0.37,0.803,2007.5,1
Footing,steel,7.44,0.56,0.4,1.667,13086.0,0
Beam,steel,6.93,0.61,0.35,1.48,11618.0,0
Column,concrete,1.24,0.49,0.25,0.152,380.0,1
Beam,concrete,3.0,0.67,0.38,0.764,1910.0,1
Footing,concrete,3.08,0.33,0.44,0.447,1117.5,1
Column,steel,7.05,0.51,0.54,1.942,15244.7,0
Footing,concrete,1.18,0.98,0.42,0.486,1215.0,1
Beam,steel,1.94,0.41,0.48,0.382,2998.7,1
Beam,steel,8.2,0.73,0.18,1.077,8454.4,0
Footing,concrete,2.61,0.46,0.33,0.396,990.0,1
Slab,concrete,6.87,0.82,0.1,0.563,1407.5,1
Slab,steel,3.14,0.3,0.22,0.207,1624.9,1
Beam,steel,1.89,0.98,0.46,0.852,6688.2,0
Beam,concrete,3.19,0.56,0.6,1.072,2680.0,1
Slab,concrete,7.5,0.39,0.15,0.439,1097.5,1
Slab,concrete,8.7,0.26,0.3,0.679,1697.5,1
Footing,concrete,8.47,0.34,0.5,1.44,3600.0,1
Footing,concrete,4.57,0.62,0.2,0.567,1417.5,1
Slab,steel,7.01,0.47,0.38,1.252,9828.2,0
Footing,steel,2.84,0.86,0.47,1.148,9011.8,0
Footing,steel,3.64,0.54,0.41,0.806,6327.1,0
Column,steel,9.07,0.4,0.19,0.689,5408.6,0
Footing,concrete,1.12,0.69,0.28,0.216,540.0,1
Beam,concrete,1.77,0.77,0.49,0.668,1670.0,1
Footing,concrete,2.87,0.33,0.38,0.36,900.0,1
Footing,steel,1.24,0.33,0.1,0.041,321.8,1
Slab,steel,2.63,0.23,0.48,0.29,2276.5,1
Beam,concrete,6.25,0.79,0.12,0.592,1480.0,1
Footing,concrete,4.79,0.73,0.47,1.643,4107.5,1
Footing,steel,9.03,0.58,0.2,1.047,8218.9,0
Column,steel,8.36,0.88,0.58,4.267,33496.0,0
Footing,concrete,4.08,0.84,0.28,0.96,2400.0,1
Footing,concrete,3.33,0.67,0.26,0.58,1450.0,1
Column,steel,4.42,0.89,0.17,0.669,5251.7,0
Slab,concrete,6.31,0.36,0.25,0.568,1420.0,1
Footing,concrete,3.41,0.29,0.54,0.534,1335.0,1
Column,concrete,6.62,0.42,0.6,1.668,4170.0,1
Beam,steel,4.68,0.25,0.28,0.328,2574.8,1
Slab,steel,5.97,0.62,0.32,1.184,9294.4,0
Beam,steel,4.93,0.95,0.46,2.154,16908.9,0
Beam,steel,3.65,0.23,0.54,0.453,3556.0,1
Column,steel,9.54,0.3,0.4,1.145,8988.2,0
Footing,steel,7.87,0.56,0.3,1.322,10377.7,0
Column,steel,2.26,0.95,0.31,0.666,5228.1,0
Column,concrete,8.82,0.45,0.45,1.786,4465.0,1
Column,concrete,5.39,0.61,0.1,0.329,822.5,1
Column,concrete,9.05,0.23,0.41,0.853,2132.5,1
Slab,concrete,8.2,0.32,0.28,0.735,1837.5,1
Footing,concrete,4.83,0.99,0.5,2.391,5977.5,0
Beam,concrete,1.2,0.97,0.15,0.175,437.5,1
Beam,concrete,3.42,0.2,0.39,0.267,667.5,1
Footing,steel,5.87,0.96,0.34,1.916,15040.6,0
Beam,steel,6.7,0.71,0.42,1.998,15684.3,0
Footing,concrete,3.32,0.89,0.13,0.384,960.0,1
Beam,concrete,2.25,0.56,0.39,0.491,1227.5,1
Column,steel,8.51,0.61,0.38,1.973,15488.0,0
Beam,concrete,9.86,0.59,0.38,2.211,5527.5,0
Footing,concrete,5.73,0.73,0.4,1.673,4182.5,1
Footing,steel,2.55,0.31,0.44,0.348,2731.8,1
Footing,concrete,3.45,0.22,0.5,0.38,950.0,1
Footing,steel,1.17,0.45,0.23,0.121,949.8,1
Footing,concrete,9.23,0.76,0.51,3.578,8945.0,0
Slab,steel,2.06,0.36,0.35,0.26,2041.0,1
Slab,steel,6.19,0.74,0.14,0.641,5031.8,0
Beam,steel,3.47,0.98,0.13,0.442,3469.7,1
Footing,concrete,5.99,0.28,0.27,0.453,1132.5,1
Beam,steel,6.86,0.74,0.49,2.487,19523.0,0
Footing,concrete,8.47,0.56,0.45,2.134,5335.0,0
Footing,concrete,2.86,0.89,0.49,1.247,3117.5,1
Slab,concrete,1.1,0.34,0.36,0.135,337.5,1
Slab,concrete,2.23,0.75,0.32,0.535,1337.5,1
Column,steel,9.1,0.87,0.17,1.346,10566.1,0
Slab,steel,8.87,0.96,0.26,2.214,17379.9,0
Column,concrete,6.38,0.75,0.32,1.531,3827.5,1
Column,concrete,6.4,0.6,0.14,0.538,1345.0,1
Column,steel,6.99,0.69,0.21,1.013,7952.0,0
Column,concrete,2.58,0.9,0.4,0.929,2322.5,1
Column,steel,9.23,0.66,0.47,2.863,22474.6,0
Beam,concrete,4.77,0.22,0.6,0.63,1575.0,1
Slab,concrete,4.45,0.94,0.57,2.384,5960.0,0
Column,steel,5.67,0.75,0.42,1.786,14020.1,0
Footing,concrete,1.42,0.74,0.31,0.326,815.0,1
Slab,steel,2.5,0.37,0.42,0.388,3045.8,1
Slab,concrete,7.64,0.73,0.49,2.733,6832.5,0
Column,concrete,1.75,0.52,0.16,0.146,365.0,1
Beam,concrete,6.43,0.72,0.3,1.389,3472.5,1
